MinimizeOrder,Conformation,Score,LowerBound,Corrected,FinalEnergy,OldConfLower,OldConfUpper,SubtreeLower,SubtreeUpper,ErrorBound,BoltzmannWeight,PercentContribution,ContributionRank
90,7     9     5     7     9     7     0     24,-86.816645,-88.135301,-86.816645,-85.774774,-86.816645,-82.665530,3.439565e+60,3.770444e+63,3.767005e+63,3.030877e+62,0.010032,91
91,7     9     5     7     9     7     5     11,-86.789553,-87.758220,-86.789553,-85.863552,-86.789553,-85.145412,2.251841e+62,3.602075e+63,3.376891e+63,3.517528e+62,0.011643,86
92,7     9     5     7     9     7     2     27,-86.770763,-87.688718,-86.770763,-85.883257,-86.770763,-76.720521,1.523826e+56,3.489732e+63,3.489732e+63,3.635728e+62,0.012034,84
93,7     9     5     7     9     7     6     27,-86.763091,-88.116229,-86.763091,-85.665890,-86.763091,-78.269278,2.075392e+57,3.444880e+63,3.444878e+63,2.524952e+62,0.008357,95
94,7     9     1     7     9     7     0     16,-86.778673,-87.954821,-86.778673,-85.471855,-86.778673,-81.603798,5.741040e+59,3.536591e+63,3.536017e+63,1.823521e+62,0.006036,102
95,7     9     1     7     9     7     8     16,-86.683476,-87.930755,-86.683476,-85.538079,-86.683476,-82.835298,4.579579e+60,3.012116e+63,3.007536e+63,2.037749e+62,0.006745,101
96,7     9     5     7     9     5     1     17,-86.623011,-87.710389,-86.623011,-85.671489,-86.623011,-49.312480,1.293745e+36,2.720147e+63,2.720147e+63,2.548776e+62,0.008436,94
97,7     9     5     7     9     4     8     17,-86.634471,-87.733930,-86.634471,-85.935153,-86.634471,-50.511584,9.771485e+36,2.773225e+63,2.773225e+63,3.966381e+62,0.013129,81
98,7     9     5     7     9     7     5     19,-86.743174,-87.711841,-86.743174,-85.864705,-86.743174,-84.771811,1.199352e+62,3.331110e+63,3.211175e+63,3.524337e+62,0.011665,85
99,7     9     1     7     9     7     1     14,-86.617306,-87.896286,-86.617306,-85.565834,-86.617306,-82.891867,5.037922e+60,2.694107e+63,2.689069e+63,2.134856e+62,0.007066,99
100,7     9     5     7     9     4     0     17,-86.580124,-87.703871,-86.580124,-85.861544,-86.580124,-49.290673,1.247038e+36,2.530385e+63,2.530385e+63,3.505701e+62,0.011604,87
101,7     9     5     7     9     5     0     17,-86.601945,-87.922319,-86.601945,-85.740300,-86.601945,-48.217197,2.040639e+35,2.625222e+63,2.625222e+63,2.860594e+62,0.009468,93
